time,Q_oil_inlet_uL_s,Q_water_inlet_uL_s
0.0,0.0,0.0
0.001,0.2374819399484238,0.07762473382192556
0.002,0.23719471113407808,0.07599027639530428
0.003,0.23669033627218908,0.07707785161430558
0.004,0.236071086871936,0.07874240118573021
0.005,0.23535867317935696,0.08090156901351099
0.006,0.23448911110044013,0.08269645045134077
0.007,0.23367810834795164,0.0839527991732622
0.008,0.23311274005486843,0.08571650105423732
0.009,0.2325918472562896,0.08701743031750193
0.01,0.23207739622947077,0.0880647724081915
0.011,0.2317517090092946,0.08917297604614775
0.012,0.2311884205457139,0.08993205671317894
0.013,0.23092966002642748,0.0906956300795383
0.014,0.23096597937061086,0.09146830619117818
0.015,0.23082771597054316,0.09222853238477938
0.016,0.23076340777592783,0.09269010024381433
0.017,0.23079233763440404,0.09306397329417244
0.018,0.23101294373146783,0.09301310520894364
0.019,0.23103258755903971,0.09175422850545997
0.02,0.2311787914155236,0.08915552604432943
0.021,0.23431562582490714,0.0705543449014995
0.022,0.23672970662907328,0.07364618258117313
0.023,0.23633079510501992,0.07346600745672423
0.024,0.23609249089942877,0.0742187670522629
0.025,0.23548363505844394,0.07516051953287213
0.026,0.23446057575008677,0.0770711863260486
0.027,0.2336772411005083,0.07815071491938756
0.028,0.2328173752069653,0.07977079570815877
0.029,0.232336571373648,0.08136608841954235
0.03,0.23144580755039534,0.08200652606152986
0.031,0.23097886961961756,0.08348435144928597
0.032,0.23044849409484044,0.0844754677431599
0.033,0.23020679018940604,0.08557022234039105
0.034,0.22974766530970883,0.08626837887528932
0.035,0.22944887617487947,0.08692448955592803
0.036,0.2295156810590338,0.08781539853822022
0.037,0.22934213767071027,0.08852803117620243
0.038,0.22943447941883896,0.08928051472777741
0.039,0.229569077133514,0.08985814175094892
0.04,0.22965759785120726,0.08971861996748523
0.041,0.22976423912614038,0.08874001170616864
0.042,0.2299846172354099,0.08630948148620735
0.043,0.23269533805025003,0.06818922927782547
0.044,0.23557599245259833,0.07065395318650416
0.045,0.23661993722709124,0.07262282055254425
0.046,0.24230011369161913,0.09142174863861323
0.047,0.24180568308682143,0.0916394053924321
0.048,0.2427984748025485,0.09660745689640458
0.049,0.2407185838278152,0.10100124754894098
0.05,0.23264413803738018,0.08289695671662989
0.051,0.23167152660845006,0.08278249681934371
0.052,0.23107480776325426,0.08394559297294682
0.053,0.23058724029310051,0.08484855401234216
0.054,0.23038537277827353,0.08594776107577315
0.055,0.22996262535711143,0.08664714248591111
0.056,0.2296658791712218,0.08725901237162349
0.057,0.2297108005829634,0.08807536489680647
0.058,0.2294576984071888,0.08871010284561646
0.059,0.2294466398832221,0.08925761760742044
0.06,0.2295360345544005,0.08979804016277257
0.061,0.22962919996392303,0.08964849362483787
0.062,0.22965850086177178,0.08852446719158615
0.063,0.22984837554989243,0.08607620086756075
0.064,0.2327931369768192,0.06764970973268655
0.065,0.23565908616813067,0.07080106114982841
0.066,0.2353752313487132,0.07030330806222466
0.067,0.24327832866432134,0.08483525472826134
0.068,0.24290110618308952,0.09515093047974195
0.069,0.2424335379322846,0.09703743727936721
0.07,0.2415768135802551,0.10099143066563292
0.071,0.24042119502667092,0.1025220508584292
0.072,0.23165597650211328,0.082835006639725
0.073,0.2310329004836941,0.0838863429859864
0.074,0.23054125940887815,0.08489443318966029
0.075,0.2302938658677135,0.08590061008456558
0.076,0.22998472675878706,0.08672102615570804
0.077,0.22976104506196754,0.08743042561479564
0.078,0.2297162119396255,0.08814970901240515
0.079,0.2295066576608596,0.08876643146042669
0.08,0.22942222395862413,0.08919504838737431
0.081,0.2295212567005427,0.08971383893073752
0.082,0.22967529037168735,0.08956783290809425
0.083,0.2296826575057845,0.08848389431685759
0.084,0.22993213646461394,0.08612986068485963
0.085,0.23346922573755366,0.06719071902903737
0.086,0.23567406071739297,0.0710013461329118
0.087,0.23563088721171965,0.07083782528841016
0.088,0.2451427857586231,0.08785375188537027
0.089,0.24212023245949735,0.09484296152873223
0.09,0.2407135703263445,0.09508195525159907
0.091,0.24344273692063947,0.10302530247356886
0.092,0.23995394193709277,0.1019762281231881
0.093,0.23169222990852,0.08285175703214545
0.094,0.2309902891243213,0.08382696335894588
0.095,0.23048504030944153,0.08483354929065569
0.096,0.23018347732367433,0.08581826404678045
0.097,0.22989912629589992,0.0866741813833104
0.098,0.2297459844590128,0.08750607954223825
0.099,0.2296851508427124,0.08817181488123867
0.1,0.22954125145076035,0.08883784302800622
0.101,0.22948307210363872,0.08924723522514222
0.102,0.22958845497515265,0.08976119779310801
0.103,0.2298317458541074,0.08976727523065689
0.104,0.22979168818120965,0.08851861774176438
0.105,0.22994033173034634,0.08602039304824478
0.106,0.2335724449617664,0.0667775248012759
0.107,0.2355534049010451,0.07087034036160741
0.108,0.23557373604543494,0.07094147253246255
0.109,0.2457955918379849,0.09161060517808228
0.11,0.24276080765005198,0.09520498368762877
0.111,0.24098449578213324,0.09648517500842246
0.112,0.24147589433927397,0.10207107548800923
0.113,0.239674237836818,0.10208091472305522
0.114,0.2317596841103929,0.08295249855026424
0.115,0.23097482283691512,0.0838384432115575
0.116,0.2304286926875247,0.08478344116451722
0.117,0.23009945712856494,0.08569936397675032
0.118,0.2298461604923883,0.08667367399885892
0.119,0.22968638801170072,0.08749342622338421
0.12,0.229657369863723,0.08819751937988224
