time,Q_oil_inlet_uL_s,Q_water_inlet_uL_s
0.0,0.0,0.0
0.001,0.2351840954430259,0.07282208592169415
0.002,0.23484669256771162,0.0719275680621035
0.003,0.23435621789547817,0.07244669526152145
0.004,0.2337793962145963,0.07368670311867126
0.005,0.23306717514046638,0.07587872941568573
0.006,0.23235116023092617,0.07742400308995989
0.007,0.2317216703989011,0.07864566613436122
0.008,0.23098499875587727,0.08021943826957023
0.009,0.2302178855324196,0.08132161863528564
0.01,0.22968048300851465,0.08237421242274974
0.011,0.22927344738350905,0.0832186325966002
0.012,0.2288914404924696,0.0840653088067063
0.013,0.22868965680252595,0.08469419270599729
0.014,0.2284417454531683,0.08536459718513646
0.015,0.22836761553333132,0.08596666794597396
0.016,0.22843969766119848,0.08671853853106393
0.017,0.22832843628501642,0.08713941124258254
0.018,0.22844769772166743,0.08757075424603933
0.019,0.22838766988743764,0.08751129640234019
0.02,0.2284817979094341,0.0869124323725957
0.021,0.2286792114616053,0.08541092190044222
0.022,0.2287322789639319,0.08236524491112167
0.023,0.22906856089940056,0.08015270195766275
0.024,0.22914128563984648,0.0793120741278375
0.025,0.22932744062035273,0.07986565801552323
0.026,0.22943050896604958,0.0805309573599522
0.027,0.2295922208282249,0.08123961310538289
0.028,0.22975774515223837,0.08188149379373678
0.029,0.22992979543943443,0.08248005235130497
0.03,0.23014750660713393,0.0831570952957569
0.031,0.23033666901431263,0.08368201532210157
0.032,0.23053049362200084,0.08421002734005688
0.033,0.2307267325902285,0.08473698733476122
0.034,0.2309092721766773,0.08516774696020804
0.035,0.23107367034549864,0.08558773156070602
0.036,0.23124896945818413,0.0860582191573199
0.037,0.23147080787477614,0.08657053727683493
0.038,0.23175255342620657,0.08722982847394656
0.039,0.23196104897130937,0.08778857859629417
0.04,0.2321738286000059,0.0883106450522494
0.041,0.2324892623221639,0.08901112751199299
0.042,0.23045276097411718,0.08412854335777242
0.043,0.2294084507784911,0.08132340677534518
0.044,0.2289038036126284,0.07986715260317694
0.045,0.22851440798122602,0.07905920599004995
0.046,0.22842140052644214,0.07867223117389678
0.047,0.23899867253154117,0.10166725112176385
0.048,0.2366360510940248,0.09917638889589853
0.049,0.23769597211723711,0.10004481481080789
0.05,0.2382423537080678,0.10209812699866064
0.051,0.2377280416509801,0.10212153518905381
0.052,0.22978321235283744,0.08248652094418993
0.053,0.22989137466020718,0.08230487585673799
0.054,0.23035655424023538,0.08296608929904596
0.055,0.2297743681418562,0.08220854286002442
0.056,0.2305398593737992,0.08379606131888713
0.057,0.23074479912953794,0.08429481193522667
0.058,0.23097170952851961,0.08479311104820299
0.059,0.23120706851297104,0.08537297610445349
0.06,0.2313101901302861,0.08579311120998147
0.061,0.23160629183214337,0.08636305954451634
0.062,0.231754087873127,0.08675583463758285
0.063,0.2319411287276839,0.08729636511377466
0.064,0.2322609288623064,0.08786533444505826
0.065,0.2323722293540086,0.088169489383994
0.066,0.23252095261976743,0.0885822677860154
0.067,0.2326709454644224,0.08901161180119538
0.068,0.2329443310924016,0.08957319984484488
0.069,0.23318398570877066,0.09014596524867284
0.07,0.2335918513283629,0.09094806166960316
0.071,0.24323939896189914,0.11445728551751876
0.072,0.2430883026867375,0.11416268518872577
0.073,0.24101719935443355,0.10914752395358693
0.074,0.2398585909260012,0.1067174822509822
0.075,0.23685222967683028,0.10134080562405363
0.076,0.23079408285466485,0.0848144197015512
0.077,0.23079468486150223,0.08416590203720534
0.078,0.2307441114409342,0.0837870073737273
0.079,0.23061149074158857,0.08358722758183251
0.08,0.23042570456483136,0.08336955299423277
0.081,0.23058012305404949,0.08361152242733631
0.082,0.23062659567527008,0.08381262544376576
0.083,0.23058273634506884,0.08386748106871474
0.084,0.23083662939264424,0.08419964421460578
0.085,0.23010127575733633,0.08316759763733501
0.086,0.2314973121961278,0.08580000895125642
0.087,0.23159213498475203,0.08613785689301454
0.088,0.23195639943672278,0.08683441140822114
0.089,0.23219266664673666,0.08730088910590021
0.09,0.2327020456761316,0.0887354904063512
0.091,0.23291596449854002,0.08923462845370571
0.092,0.23322859978275912,0.08990666758964924
0.093,0.2335379091280138,0.09057683364999583
0.094,0.23366483162367083,0.09104296564177185
0.095,0.24332708633249198,0.1153553020976051
0.096,0.2413041688797919,0.10904655223493653
0.097,0.23921782091560842,0.10473767448796718
0.098,0.23796928174887846,0.1026814312881148
0.099,0.23506535890003927,0.09630323748612553
0.1,0.23034379065134644,0.08331644676483328
0.101,0.2303971811362443,0.08307601810845049
0.102,0.23059980972202082,0.08335788240420013
0.103,0.23051972678861202,0.08328512006405332
0.104,0.2306660714566436,0.08356320989864262
0.105,0.23072780510121652,0.0838365865001011
0.106,0.23093001868964003,0.0842696662345161
0.107,0.23112240608046666,0.08481792147137845
0.108,0.231355806679841,0.08532758569539367
0.109,0.23148460597671625,0.08564359449994831
0.11,0.23167365737028164,0.08642519289688605
0.111,0.23220675010599087,0.08720687920137606
0.112,0.23246418106163924,0.08813509304638581
0.113,0.2328231719929624,0.08886193863160732
0.114,0.23298204667418493,0.08932490561588435
0.115,0.23316188430774504,0.08976083594263702
0.116,0.23328502563403017,0.09018387378943755
0.117,0.23383010337312377,0.09208569933834738
0.118,0.24328782847815175,0.11370843239339051
0.119,0.24056985385493632,0.1072992144584022
0.12,0.23957680327886627,0.10590114628480994
