name,mode,P_cont,P_disp,endTime,frequency_Hz,n_free,L_um,L_over_w,v_drop_mm_s
pc10k_pd2400,pressure,10000.0,2400.0,0.08,25.0,35,195.4709878191352,1.3031399187942345,21.58645435068215
pc10k_pd3000,pressure,10000.0,3000.0,0.08,37.5,43,225.5434519611299,1.5036230130741994,23.85303519169026
pc10k_pd3600,pressure,10000.0,3600.0,0.08,37.5,36,285.6884093489498,1.9045893956596653,21.038897018445894
pc13k_pd2400,pressure,13000.0,2400.0,0.08,25.0,33,172.91668336838484,1.1527778891225655,26.313402890486348
pc13k_pd3000,pressure,13000.0,3000.0,0.08,25.0,40,187.95294454321265,1.2530196302880843,29.280990384078876
pc13k_pd3600,pressure,13000.0,3600.0,0.08,50.0,46,210.50726354587823,1.4033817569725215,31.950115084000085
pc16k_pd2400,pressure,16000.0,2400.0,0.08,25.0,28,157.88045129738748,1.0525363419825833,31.42287075840167
pc16k_pd3000,pressure,16000.0,3000.0,0.08,12.5,39,172.91662516072392,1.152777501071493,34.145262049446295
pc16k_pd3600,pressure,16000.0,3600.0,0.08,50.0,47,187.95288633555174,1.2530192422370117,37.48909543731596
