name,sigma_N_m,theta0_deg,P_cont_Pa,P_disp_Pa,P_cont_cmH2O,P_disp_cmH2O,end_time_s,regime,n_droplets,L_um,L_over_w,speed_mm_s,f_Hz,period_ms,Ca_measured,entry_pressure_Pa,max_detection_um
s30_t120,0.03,120.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1239.999895915389,1.5499998698942363,24.948816021557082,5.47945205479452,182.5,0.03991810563449134,75.0,2200.0
s30_t130,0.03,130.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1200.0000569969416,1.500000071246177,26.041104565467755,5.47945205479452,182.5,0.04166576730474841,75.0,2120.0
s30_t140,0.03,140.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1240.0001287460327,1.550000160932541,27.636546783736204,5.555555555555555,180.0,0.04421847485397793,75.0,1960.0
s30_t150,0.03,150.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1239.999895915389,1.5499998698942363,28.235382076048626,5.7142857142857135,175.00000000000003,0.04517661132167781,75.0,1920.0
s30_t160,0.03,160.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1239.999895915389,1.5499998698942363,28.642385402623926,5.633802816901409,177.5,0.045827816644198285,75.0,1920.0
s30_t170,0.03,170.0,980.0,490.0,9.99,4.99,0.6,plugs,3,1159.9999852478504,1.449999981559813,28.154471635632373,5.88235294117647,170.0,0.045047154617011795,75.0,2080.0
