time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.1425,14269,0,2940.000034868717,4740.000003948808,4012.5506306817338,1799.9999690800905,640.000005660113,550.677649142256,1020,183.55656818030596,0.3333285243485304,183.55653464912902,0.333328463457777,183.56454631282097,0.3333430121936925,0.11590453498369457,0.09567413000974555,-7.421235895810341e-06,-1.4748384740026488e-05
0.145,14519,0,3260.0000267848372,4859.9999863654375,4149.6369154097565,1599.9999595806003,640.000005660113,551.5338290296721,940,183.84166316629762,0.33332799094071,183.84162522913954,0.33332792215588464,183.850540634235,0.33334408690340545,0.11684156111213065,0.10085145104423511,-7.708097947645154e-06,-1.53033858686924e-05
0.1475,14769,0,3499.999991618097,4979.999968782067,4272.806658790083,1479.9999771639705,680.000004649628,550.224576770995,880,183.40526775741824,0.3333280182316394,183.4052304306054,0.33332795039240715,183.41407858297126,0.3333440313759535,0.1214667341749328,0.104133037779211,-8.19429092996371e-06,-1.6258253708767434e-05
0.15,15019,0,3700.000001117587,5060.00011228025,4376.850665911474,1360.0001111626625,680.000004649628,548.576062078697,820,182.8557693579053,0.33332801410440216,182.85573168777134,0.3333279454354672,182.8645610330203,0.33334404046013066,0.12706183463466122,0.10024863918191074,-8.43640550229896e-06,-1.6733187628570345e-05
0.1525,15269,0,3819.999983534217,5140.000022947788,4470.039665326906,1320.0000394135714,680.000004649628,546.0294269182983,800,182.0068839775612,0.333327976487968,182.00684604039833,0.33332790700972936,182.0156969003387,0.3333441165023025,0.13097271238175356,0.10040746511631214,-8.431760406046873e-06,-1.6723384760886084e-05
0.155,15519,0,3900.0000106170774,5219.999933615327,4556.8945648807685,1319.9999229982495,640.0000202120282,542.6849852202276,800,180.8920791193627,0.33332796013502136,180.89204162089544,0.33332789103698424,180.90086447996953,0.33334414882799446,0.1346800366999952,0.10454067907640051,-8.564708423086653e-06,-1.6987141898683333e-05
0.1575,15769,0,4020.000109449029,5300.000077113509,4640.817427655245,1279.9999676644802,640.0000202120282,538.5831560016582,760,179.52480417540528,0.3333279219279048,179.52476702026416,0.3333278529410813,179.53358480598868,0.33334422513101386,0.13885940269956817,0.09690629516187409,-8.535940565712608e-06,-1.6930969682971142e-05
0.16,16019,0,4100.000020116568,5379.999987781048,4722.703630928849,1279.9999676644802,640.0000202120282,537.903190029556,780,179.29813808040043,0.3333278950633266,179.29810044841034,0.3333278251028006,179.30695150074519,0.3333442798338729,0.1414145490485698,0.10311429762609778,-8.640415098903897e-06,-1.7136338451129163e-05
0.1625,16269,0,4179.999930784106,5459.9998984485865,4802.625066019406,1279.9999676644802,680.0000192015432,538.3880315264107,780,179.45975803510507,0.33332791133248224,179.45972039357136,0.33332784141723243,179.46855309773426,0.33334424725028533,0.145594035850976,0.09932595135822286,-8.717831047666547e-06,-1.7289092179684218e-05
0.165,16519,0,4260.000074282289,5540.000041946769,4881.888013506691,1279.9999676644802,680.0000192015432,535.6769745285422,780,178.55607525273217,0.3333278892748418,178.55603763981372,0.3333278190591703,178.56486163599635,0.3333442916659879,0.1493039143316449,0.10066299480740856,-8.769543823394788e-06,-1.739231013170306e-05
0.1675,16769,0,4339.999984949827,5619.999952614307,4961.967536203061,1279.9999676644802,680.0000192015432,534.8358109874645,780,178.2756888300543,0.33332788337584357,178.27565133158055,0.3333278132637214,178.28447082582957,0.3333443033604349,0.1527043029716249,0.09880623663012612,-8.841435578055279e-06,-1.753501276752223e-05
0.17,17019,0,4419.999895617366,5699.999863281846,5042.1307453588015,1279.9999676644802,680.0000192015432,532.2988104912218,760,177.43003153147498,0.3333278753107433,177.42999426188464,0.3333278052944487,177.43878469786213,0.3333443193948078,0.15604631554019813,0.09583801053223244,-8.913093915041692e-06,-1.7677562029916327e-05
0.1725,17269,0,4500.000039115548,5780.000006780028,5121.970698223586,1279.9999676644802,680.0000192015432,531.137325529472,780,177.0428768652952,0.3333278765313799,177.042839805516,0.33332780675699686,177.05160885866084,0.33334431671162323,0.15975703322361035,0.09805159769431201,-8.967652222691136e-06,-1.778603364965825e-05
0.175,17519,0,4579.999949783087,5860.000150278211,5201.203806593974,1280.0002004951239,680.0000192015432,528.8911651370267,780,176.29416393149413,0.3333278669644998,176.29412707198858,0.33332779727245726,176.302874133544,0.3333443357630429,0.1636206747731411,0.09799414015274158,-8.992418974118621e-06,-1.783500900953694e-05
0.1775,17769,0,4659.999860450625,5940.000060945749,5280.374134123731,1280.0002004951239,680.0000192015432,526.3334627091439,780,175.44159799701416,0.33332784332955206,175.4415610993543,0.3333277732263524,175.45030361277543,0.33334438344409556,0.16697467473212416,0.09845123802669992,-9.034215809333723e-06,-1.791832459541176e-05
0.18,18019,0,4740.000003948808,6019.999971613288,5360.164298852935,1279.9999676644802,680.0000192015432,524.6365673375807,780,174.87597211906268,0.3333278368424091,174.87593472548735,0.3333277655672109,174.88466049303074,0.3333443975903801,0.17061238333956086,0.09731040986888075,-9.04603147378058e-06,-1.7939384958254312e-05
0.1825,18269,0,4820.00014744699,6100.00011511147,5440.2510220850045,1279.9999676644802,680.0000192015432,521.7499487811065,760,173.91377735192015,0.33332782831739854,173.9137405210114,0.33332775772628714,173.92243090817487,0.3333444139563142,0.17442617387969833,0.09160090396478467,-9.093275035176873e-06,-1.803429401286971e-05
0.185,18519,0,4900.000058114529,6180.000025779009,5520.4773291375595,1279.9999676644802,680.0000192015432,518.2212514018225,780,172.73755067468662,0.333327801990791,172.73751351952856,0.3333277302933105,172.74618720760736,0.33334446771589854,0.17845539300558408,0.09982092650556834,-9.06597839567258e-06,-1.7978894375214605e-05
0.1875,18769,0,5020.000040531158,6259.9999364465475,5601.283418773368,1239.999895915389,680.0000192015432,515.2725400636613,760,171.75465342105096,0.33332778300165367,171.75461718141545,0.33332771267064887,171.7632694611948,0.33334450432769747,0.18243625503070462,0.09454021856401688,-9.095881560727825e-06,-1.8041629866516473e-05
0.19,19019,0,5099.999951198697,6340.00007994473,5681.380594562797,1240.0001287460327,680.0000192015432,512.9547958551929,760,170.98207079200856,0.3333277555324325,170.98203493385205,0.3333276856273321,170.9906901293323,0.33334455884023545,0.1861629958546743,0.09416660586562009,-9.139352156350977e-06,-1.812967452563541e-05
0.1925,19269,0,5180.000094696879,6419.999990612268,5761.825551514603,1239.999895915389,680.0000192015432,510.0437722281764,760,170.01172682745243,0.3333277182951171,170.0116905496907,0.3333276471683556,170.0203548510332,0.33334463453652724,0.19001620886376774,0.09465100706746389,-9.19848370978249e-06,-1.8244994507199408e-05
0.195,19519,0,5260.000005364418,6499.999901279807,5840.883327756089,1239.999895915389,680.0000192015432,507.65311621228534,760,169.21484156761028,0.33332769200780343,169.21480567130962,0.3333276212975103,169.2234689733654,0.3333446866946863,0.19371306755491113,0.09410143729625303,-9.195938383055324e-06,-1.824135065214838e-05
