time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,dye_dry_frac,core_bias_strict,asym_strict
0.0,35490,0,5020.000040531158,5940.000060945749,5458.55725571158,920.0000204145908,760.000002628658,178.68880851235812,6000,46.82962779402036,0.2620736473867171,62.94976145283151,0.35228709608009895,68.90941926550626,0.3856392565331839,6.481796526288765e-10,0.06853036928616858,0.0014406134363922846,0.0388903891865654,-0.10705721969948917
0.35471,35990,0,5180.000094696879,6100.00011511147,5619.026237251568,920.0000204145908,760.000002628658,178.34479413432942,6000,46.89043543126013,0.2629201242394674,62.6927503912695,0.35152554183358603,68.76160831179979,0.3855543339269466,2.8776063754558473e-10,0.07069312354204907,0.001428390198889607,0.04559060798200254,-0.09453521859405306
0.35971,36490,0,5339.999916031957,6259.9999364465475,5776.953715608406,920.0000204145908,760.000002628658,177.9330727684202,6000,46.997351922909765,0.264129378488713,62.3414251789161,0.3503644612491654,68.59429566659433,0.3855061602621216,2.393182835345205e-10,0.07289567048272844,0.0013700524623029829,0.04796436031768897,-0.09244992969139298
0.36471,36990,0,5499.999970197678,6419.999990612268,5935.138456616531,920.0000204145908,760.000002628658,178.1943341482572,6000,47.227973763662064,0.2650363379363595,62.273571350345975,0.34946998538424084,68.69278903424916,0.3854936766793996,1.2175879708824952e-09,0.07142536908785972,0.001301376435416235,0.040796888836726664,-0.09459668341175065
0.36971,37490,0,5660.000024363399,6580.000044777989,6094.398050488508,920.0000204145908,760.000002628658,178.28088178404593,6000,47.19143660499047,0.2647027327481704,62.37399634025872,0.3498636293251746,68.71544883879673,0.3854336379266549,3.0251384159125035e-11,0.07090973362853359,0.0013676553701394197,0.0332153849357929,-0.10204049844877822
0.39971,40490,0,3499.999991618097,4419.999895617366,3993.032809844894,919.999903999269,680.000004649628,140.48008589359378,6000,38.218191285202096,0.27205415658807575,44.21483437740429,0.31474094065471087,58.04706023098739,0.4132049027572133,2.783695410571229e-10,0.07528312394368517,0.0017169347208674933,-0.05439618134112317,-0.20635385809079662
0.41971,42490,0,4299.999913200736,5099.999951198697,4673.5635514867445,800.000037997961,760.000002628658,140.11599965057962,5400,38.612032223907256,0.2755718998558173,44.50787949918871,0.317650229882256,56.996087927483636,0.40677787026192663,2.2013475898181253e-10,0.07760838105568421,0.0015821979486705974,-0.038993592051506265,-0.16941816879057586
0.42971,43490,0,4620.000021532178,5420.000059530139,5000.2583703449145,800.000037997961,760.000002628658,139.52020336441743,5400,38.672387988955464,0.27718127594715275,44.3723656532636,0.3180354141067724,56.47544972219837,0.4047833099460748,4.769493443828504e-10,0.08237858865942807,0.0016793743079933907,-0.02456117127461932,-0.14886129820728933
0.44471,44990,0,5099.999951198697,5899.999989196658,5482.568447705347,800.000037997961,760.000002628658,138.881294064926,5400,38.55880364234701,0.27763856826046746,44.427411217744776,0.31989485349247454,55.89507920483421,0.402466578247058,2.818806612907615e-10,0.08675738737335194,0.0018881145756744465,-0.030699483192990706,-0.1387096095034463
0.44971,45490,0,5260.000005364418,6060.000043362379,5645.04003124708,800.000037997961,760.000002628658,138.9969281491317,5400,38.72070312613122,0.2785723658913329,44.383945298480135,0.3193160157529525,55.89227972452034,0.40211161835571474,8.510775664540157e-12,0.08651816589765535,0.0018410127387899695,-0.0381894968217838,-0.1286864917542218
