time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.135,13519,0,3066.6666571050882,4669.999936595559,3952.54429081399,1603.3332794904709,615.3846115921624,517.9916598084544,442,172.65501844684923,0.33331621306546616,172.6546313257719,0.3333154657154461,172.68201003583323,0.3333683212190877,0.13611078705819055,0.1354083925922214,-2.5610701200606822e-05,-5.0019954327962246e-05
0.1375,13769,0,3303.7037355825305,4729.999927803874,4076.6687783664447,1426.2961922213435,615.3846115921624,518.4921826581216,403,172.821169301089,0.33331489862604574,172.8207253192925,0.3333140423319466,172.85028803774006,0.33337105904200764,0.13539410969716717,0.13052357969801506,-2.569492014842245e-05,-5.0090206225317235e-05
0.14,14019,0,3481.481457129121,4849.999910220504,4182.5046886153095,1368.518453091383,676.9230749341659,519.628113939493,390,173.20017438711602,0.33331563427933375,173.1997562261451,0.33331482954810443,173.22818332623194,0.33336953617256193,0.14095765035586874,0.13246467498152142,-2.687277611712613e-05,-5.230319846871723e-05
0.1425,14269,0,3659.259295091033,4909.999901428819,4277.044445364118,1250.7406063377857,676.9230749341659,516.9956752679635,364,172.32290244871623,0.3333159457463541,172.3224950733738,0.3333151577797193,172.35027774587357,0.3333688964739267,0.14775022704655288,0.13002532256620897,-2.7847392776836344e-05,-5.414716705753886e-05
0.145,14519,0,3718.518535606563,5029.9998838454485,4365.677741549383,1311.4813482388854,676.9230749341659,513.8961704523813,377,171.28978116040955,0.33331593230131223,171.28937652765123,0.33331514491899344,171.3170127643205,0.33336892277969427,0.15234297792092097,0.14004881594039353,-2.940122929073752e-05,-5.7147059740580985e-05
0.1475,14769,0,3837.0370166376233,5089.999875053763,4450.324957396934,1252.96285841614,676.9230749341659,513.7709707406309,364,171.24800648496577,0.333315847405901,171.2476015510411,0.33331505924551885,171.27536270462403,0.33336909334858017,0.157535288887258,0.13272102129035387,-3.0208468458248205e-05,-5.871057013495662e-05
0.15,15019,0,3955.5556140840054,5149.999866262078,4532.1968299155615,1194.444252178073,676.9230749341659,505.21753767383996,351,168.3969482874635,0.33331572190231007,168.39654462086608,0.3333149229066947,168.42404476551042,0.33336935519099536,0.16630994478899255,0.13754867273188098,-2.9150734357552555e-05,-5.665931267001545e-05
0.1525,15269,0,4014.8147381842136,5209.999857470393,4612.385298760891,1195.1851192861795,676.9230749341659,501.35890682726887,351,167.11061872954264,0.33331534845379057,167.11021264686192,0.33331453848976045,167.13807545086428,0.3333701130564489,0.16862961122083472,0.14075456453105117,-2.9300749163796436e-05,-5.695600818866886e-05
0.155,15519,0,4133.3334520459175,5329.999839887023,4691.331671977524,1196.6663878411055,676.9230749341659,497.83448771195015,351,165.93596194359063,0.33331552160283867,165.93556245967375,0.3333147191596035,165.9629633086858,0.3333697592375579,0.17615456709472416,0.14186315177176317,-2.9800683325198474e-05,-5.7925869939634556e-05
0.1575,15769,0,4192.592576146126,5389.999831095338,4769.9811428655985,1197.407254949212,676.9230749341659,495.9382666703507,351,165.30379843323593,0.33331527236859315,165.3033956608039,0.3333144602263184,165.33107257631085,0.33337026740508835,0.1812427630065253,0.14183369133751086,-3.0153172255797944e-05,-5.8606519907467014e-05
