time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,dye_dry_frac,core_bias_strict,asym_strict
0.205,20519,0,4220.000002533197,5619.999952614307,4956.394231666984,1399.99995008111,600.0000212225132,584.8436998111177,840,196.29987834966443,0.3356450251803376,201.64670423154223,0.34478734112493037,186.897117229911,0.3195676336947319,1.0843217425681283e-09,0.05671295906617352,0.0007959059495465071,0.012284060265942476,0.01889743771906327
0.21,21019,0,4500.000039115548,5739.999935030937,5122.458201525605,1239.999895915389,640.0000202120282,584.025697538826,740,196.6303969839168,0.3366810703921891,201.67312309519434,0.3453154954397997,185.7221774597148,0.3180034341680111,1.231333759410984e-09,0.0521951824269087,0.0004225953348598151,0.009501609504344699,0.023642812291236714
0.215,21519,0,4659.999860450625,5860.000150278211,5272.393756773702,1200.0002898275852,640.0000202120282,582.8499267000068,740,197.64098767334247,0.33909412804141675,199.99881029430787,0.34313946203384765,185.21012873235645,0.3177664099247356,1.5015859752470999e-09,0.053261284817026223,0.000539781154870872,0.013466930054671866,0.03407936282546281
0.22,22019,0,4820.00014744699,6019.999971613288,5418.872502459146,1199.999824166298,680.0000192015432,584.7101134851201,720,197.47646942256168,0.33773397255867216,203.03462288096966,0.34723980002808097,184.1990211815889,0.315026227413247,5.313203099446197e-10,0.04939966830100407,0.0005802912033584114,0.013099004849434659,0.036235676186170185
0.225,22519,0,4979.999968782067,6180.000025779009,5563.540003615955,1200.0000569969416,680.0000192015432,580.6805483972522,740,194.21451616478393,0.33446017212189944,202.66346392918854,0.34901025096942534,183.80256830327983,0.31652957690867534,2.8425576367064518e-09,0.05615827341586697,0.0007378449286092043,0.014220910851634516,0.0418023201401167
0.23,23019,0,5099.999951198697,6300.000008195639,5705.47820776561,1200.0000569969416,720.000003639143,585.5522970307375,740,196.67981800009682,0.3358877063542156,204.01967556431003,0.3484226372244944,184.85280346633064,0.31568965642129,1.516959135934757e-09,0.04843394495565359,0.0006983250864979289,0.02545264973334954,0.036673031967255465
0.235,23519,0,5260.000005364418,6460.00006236136,5849.52092093207,1200.0000569969416,720.000003639143,589.0051696739336,740,196.99352536710526,0.3344512671699615,205.28624084557526,0.3485304568026446,186.72540346125302,0.31701827602739385,3.370610471203413e-09,0.042247886500084965,0.0007531712369392601,0.027376989963620868,0.0249103145127198
0.24,24019,0,5420.000059530139,6619.999883696437,5993.169133525049,1199.999824166298,680.0000192015432,587.2827795283769,740,195.22557990789417,0.332421768035957,205.9546916901536,0.35069084071483847,186.10250793032904,0.3168873912492045,1.5914031496224345e-09,0.04479675618282713,0.0006269496622220849,0.03017314744142857,0.021024116320629005
0.37,37019,0,4020.000109449029,5579.999880865216,4898.686863127386,1559.9997714161873,640.000005660113,588.3378061181205,900,210.16419301886117,0.3572168758039434,140.42871901602933,0.23868722620867147,237.74489408322998,0.4040958979873851,1.0621438514666498e-09,0.06227184156028327,0.0006344392546681599,-0.15999765602718366,-0.06706331398163318
0.375,37519,0,4339.999984949827,5699.999863281846,5075.53686822859,1359.9998783320189,680.000004649628,591.2314607087559,800,212.64798418054758,0.359669602029685,139.73364594590376,0.236343387035585,238.84983058230458,0.40398701093473005,1.9446802331702036e-09,0.05643899366065487,0.0005523469504065746,-0.15667879031117068,-0.0529637745064786
0.38,38019,0,4620.000021532178,5860.000150278211,5242.17758242675,1240.0001287460327,680.000004649628,594.2930406224763,760,213.29300405808934,0.35890207267896207,143.90400487312286,0.24214317691217532,237.09603169126402,0.3989547504088625,2.1385526016260433e-09,0.05199330248185943,0.0006959629891696427,-0.15866070729509166,-0.056711953772114077
0.385,38519,0,4780.000075697899,6019.999971613288,5390.15420624945,1239.999895915389,720.000003639143,596.2119123207032,740,216.72331722241054,0.36350048152985376,142.5075989703156,0.23902172369488076,236.98099612797708,0.39747779477526557,2.028496264055124e-09,0.049491695442288444,0.0007982054563449758,-0.15731540759888066,-0.04059359336155699
0.39,39019,0,4940.00012986362,6139.999954029918,5534.137727059254,1199.999824166298,720.000003639143,601.4643231910179,740,217.91729359515625,0.36231125470421016,144.5614242055844,0.24034912567818822,238.9856053902773,0.39733961961760167,7.334752626725842e-10,0.04119395999416814,0.0007454002872622434,-0.16109340078824597,-0.02658897866149129
0.395,39519,0,5099.999951198697,6300.000008195639,5677.197392939347,1200.0000569969416,720.000003639143,600.4756507487426,740,218.05987633284442,0.3631452433765501,143.27499894183464,0.23860251246354913,239.14077547406356,0.3982522441599008,8.609660082253614e-10,0.042804310284334374,0.0008775119105340103,-0.16290636074195275,-0.015155465186005634
0.4,40019,0,5219.999933615327,6419.999990612268,5819.117429865591,1200.0000569969416,680.0000192015432,599.3551647108087,740,218.24954229202504,0.3641405883226706,144.0041686992044,0.24026516692933977,237.10145371957927,0.3955942447479896,9.995313680093947e-10,0.044572735754314044,0.0007111760917784027,-0.16442050708674644,-0.019898923492642606
0.405,40519,0,5379.999987781048,6580.000044777989,5962.492557755389,1200.0000569969416,680.0000192015432,600.5780810556661,740,218.28511462468714,0.3634583437360826,143.91322028930585,0.23962449651233092,238.379746141673,0.39691715975158637,7.773939381118206e-10,0.04304718717326653,0.0007407573820513952,-0.165318967578057,-0.02440457648862504
0.495,49519,0,3380.000009201467,4940.00012986362,4281.631837825187,1560.0001206621528,560.0000076810829,505.7837254336385,920,149.98454914599762,0.29653889914588877,173.6171170818464,0.34326354991551794,182.18205920579453,0.3601975509385934,5.805423080964256e-10,0.06562799751635226,0.0006485413332187731,0.035910163692163155,-0.1151827671907687
0.5,50019,0,3900.0000106170774,5099.999951198697,4483.488966687374,1199.9999405816197,560.0000222329982,499.5555734611182,740,146.39148570181607,0.29304344397072396,173.806585829996,0.3479224235770114,179.35750192930612,0.3590341324522647,1.7640561939156786e-10,0.06315898126660831,0.0007527538884986798,0.03737966985582619,-0.10772166360023805
0.505,50519,0,4100.000020116568,5219.999933615327,4643.629313160824,1119.9999134987593,640.0000202120282,498.73734748671507,700,148.4289090684133,0.2976093725813606,171.95956311231316,0.34478982570458827,178.34887530598863,0.3576008017140512,2.275105217381188e-09,0.06334924399001705,0.0006286622707313909,0.04236832864319923,-0.11436197633532563
0.51,51019,0,4260.000074282289,5339.999916031957,4796.019150246371,1079.9998417496681,640.0000202120282,500.3701180337109,680,148.87706154180654,0.2975338777760034,173.27426670222442,0.34629219543152373,178.21878978967993,0.3561739267924728,1.8038292598467797e-09,0.05939107472760828,0.000814767472181271,0.035268205026529276,-0.1048024922991368
