time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,dye_dry_frac,core_bias_strict,asym_strict
0.2225,22269,0,4020.000109449029,6060.000043362379,5186.582421949572,2039.99993391335,600.0000212225132,669.402433900991,1140,222.66523271681424,0.3326328400379672,222.79695871286685,0.3328296215095925,223.94024247130986,0.3345375384524403,1.3224935981789664e-09,0.07937509952859115,0.0008550600229350536,0.005128200823567852,-0.0010497449147919835
0.225,22519,0,4339.999984949827,6139.999954029918,5299.47859372672,1799.9999690800905,600.0000212225132,666.527912860403,1040,221.3166172142882,0.3320440343818587,222.4337410352526,0.33372006894756845,222.77755461086224,0.3342358966705728,1.5694171776271615e-09,0.07894883891964288,0.0007502529679696806,0.007969521418834613,-0.008577138229229564
0.2275,22769,0,4539.999878033996,6220.0000975281,5404.853510785376,1680.0002194941044,600.0000212225132,668.8242798714955,980,222.96621851049036,0.3333704011961557,223.24382102985635,0.3337854616652812,222.61424033114866,0.332844137138563,2.061308288888084e-09,0.07294792779015111,0.0006984031876737853,0.008946630219333895,-0.005528742363641925
0.23,23019,0,4659.999860450625,6259.9999364465475,5491.240541611022,1600.000075995922,600.0000212225132,664.7218947646278,940,222.27403091827543,0.3343865045952499,221.73230306046477,0.3335715354147891,220.7155607858877,0.3320419599899611,5.451767593914821e-10,0.07690629718406596,0.0005837740587265794,0.009177874281070586,-0.0023297638791096587
0.2325,23269,0,4780.000075697899,6340.00007994473,5571.117070702748,1560.000004246831,600.0000212225132,664.7083117813223,900,221.567383863235,0.3333302441629869,222.3591236830265,0.33452135281283923,220.78180423506095,0.332148403024174,3.012907351612001e-10,0.07286449730636645,0.0004799100158578863,0.006783218815220093,-0.005351093794448314
0.235,23519,0,4859.9999863654375,6419.999990612268,5645.276708421235,1560.000004246831,600.0000212225132,670.0423278718702,920,223.78824439457983,0.33399120486217115,223.61103411542337,0.3337267286167385,222.643049361867,0.3322820665210904,6.760734238634023e-10,0.06825985769878792,0.0005415436365681565,0.005958918375557842,-0.0014647294627163077
0.2375,23769,0,4940.00012986362,6460.00006236136,5722.403467237823,1519.9999324977398,640.0000202120282,664.6919938566919,900,221.88717007759,0.33381953164525263,222.4274986246725,0.33463243228506234,220.37732515442934,0.331548036069685,1.2805352223974319e-09,0.07567696149484117,0.0004308130610395742,0.002206050542627125,-0.004015300079232342
0.24,24019,0,5060.00011228025,6539.999973028898,5801.225706328695,1479.9998607486486,640.0000202120282,669.5291201370959,880,223.4370665896634,0.33372270132763066,223.6708013553706,0.33407180453864455,222.4212521920619,0.3322054941337247,5.840101335144307e-10,0.06719492616729585,0.00035925774418279485,-0.00012737059344525292,-0.0013979014049972927
0.2425,24269,0,5140.000022947788,6619.999883696437,5877.210290153998,1479.9998607486486,640.0000202120282,668.4307862114441,880,222.43352014690603,0.3327697118913728,223.5472752800867,0.334435935464786,222.44999078445136,0.3327943526438412,8.917164636917395e-10,0.06886791403781865,0.0002897130883829795,-0.0004499107754509235,0.0008287954742672854
0.245,24519,0,5260.000005364418,6700.000027194619,5954.479005016222,1440.0000218302011,640.0000202120282,669.2344589988254,840,222.95286941419766,0.333146129007964,223.52530255067765,0.33400148415111713,222.7562870339501,0.33285238684091883,1.1524830971206185e-09,0.0632144384849553,0.0002512016073841711,-0.0022865016525013826,0.0026595218330245363
0.42,42019,0,4500.000039115548,6019.999971613288,5321.826682502952,1519.9999324977398,640.0000202120282,616.4220558458372,900,183.8180767509765,0.2982016542200886,166.19082184093537,0.26960557342954405,266.41315725392525,0.4321927723503672,6.613823162501402e-10,0.0768661677845827,0.0009304944961386116,-0.09187155033937139,-0.20412200819073745
0.4225,42269,0,4740.000003948808,6100.00011511147,5410.9248378206585,1360.0001111626625,640.0000202120282,617.9270857013782,820,184.69188896013495,0.29888945351942353,166.5311741896642,0.26949971613664253,266.70402255157904,0.4316108303439339,5.53672178339544e-10,0.06926703213488843,0.00046541701791223434,-0.09340163197418733,-0.20273076375730065
0.425,42519,0,4859.9999863654375,6139.999954029918,5487.956082343022,1279.9999676644802,640.0000202120282,615.8770130677024,780,184.32504077715248,0.2992887165231639,165.64669198350975,0.26896066660844914,265.9052803070401,0.4317506168683869,1.154581541193043e-09,0.06963910552096271,0.0003938259711161116,-0.09389767566011692,-0.19638699152285877
0.4275,42769,0,4940.00012986362,6220.0000975281,5561.764023320605,1279.9999676644802,640.0000202120282,614.9666333128117,780,184.66397544021675,0.30028291851451516,165.12823388062307,0.26851576156429974,265.1744239919718,0.43120131992118504,1.110746944497397e-09,0.07109121191370321,0.0004001929339588818,-0.09630804061594944,-0.2032659656320034
0.43,43019,0,4979.999968782067,6300.000008195639,5632.804106754041,1320.0000394135714,640.0000202120282,613.5339499575833,800,183.81629181819196,0.29960247812024104,165.42941828916773,0.26963368253803177,264.2882398502237,0.43076383934172713,1.185259958191873e-10,0.07453310205502071,0.00041136157405812846,-0.09508906890548546,-0.19868469293433028
0.4325,43269,0,5060.00011228025,6379.999918863177,5702.950910645122,1319.9998065829277,680.0000192015432,613.0564865948317,800,183.57596529435722,0.2994438021755773,164.48736892928048,0.2683070361801587,264.99315237119396,0.43224916164426397,1.0986501586288367e-09,0.07535840766356278,0.00037295653512760957,-0.09435420597661964,-0.1986703856214404
0.435,43519,0,5140.000022947788,6419.999990612268,5773.293994426919,1279.9999676644802,640.0000202120282,609.5901343165759,780,181.65302048894839,0.2979920609978429,163.3819827562144,0.2680194011659741,264.55513107141314,0.4339885378361829,5.240893436789007e-10,0.07942697086515468,0.00030672443461342335,-0.0954972148947772,-0.19899307237911246
0.4375,43769,0,5219.999933615327,6499.999901279807,5846.178578884877,1279.9999676644802,640.0000202120282,610.6577373544657,780,181.7962612015224,0.29770565421657136,163.99705148536088,0.26855805053063014,264.8644246675824,0.4337362952527985,1.1634769638489635e-09,0.07796127203477442,0.000346642390641031,-0.09683488745472196,-0.19866233629033714
0.44,44019,0,5260.000005364418,6580.000044777989,5918.023896006669,1320.0000394135714,680.0000192015432,614.835294749522,800,184.13038353411005,0.2994792021644154,165.38238904285458,0.2689864919193193,265.32252217255734,0.43153430591626524,4.0909876048586125e-10,0.07297202481498315,0.00033821644626275626,-0.09731811442691612,-0.19720269080894498
0.4425,44269,0,5339.999916031957,6659.999955445528,5990.181267239832,1320.0000394135714,680.0000192015432,616.6276371239633,800,184.2585409824493,0.29881654646855704,166.63571809203174,0.270237187014912,265.7333780494822,0.43094626651653095,1.0942201193879704e-09,0.06998183796209212,0.0003392979832490344,-0.09869404994762276,-0.1983729057075097
0.445,44519,0,5379.999987781048,6739.999866113067,6058.664138688495,1359.9998783320189,680.0000192015432,615.9352277607237,780,183.98560624206831,0.2987093414204624,165.90035832304434,0.2693470852871768,266.04926319561105,0.4319435732923607,3.2514285818593605e-10,0.06572622017756237,0.00044565882396959783,-0.09656170996307484,-0.20154961039962882
0.5575,55769,0,3060.000017285347,5020.000040531158,4204.295872644096,1960.0000232458115,640.000005660113,633.4381454678432,1120,201.71635102616526,0.31844680095352024,208.15743409409828,0.32861524930797753,223.5643603475797,0.3529379497385022,6.547987707406075e-10,0.07743641636099219,0.0006736091599470277,-0.027220487696647033,-0.13511140424357088
0.56,56019,0,3339.999937452376,5099.999951198697,4304.336475212139,1760.0000137463212,640.000005660113,629.4922958008354,1020,201.52514125183637,0.3201391702426756,206.02024643431983,0.32728001249359595,221.94690811467927,0.3525808172637285,3.020499457602399e-10,0.08381045406949637,0.0006231714565482272,-0.019638333090618465,-0.12302072663553348
0.5625,56269,0,3580.0000187009573,5140.000022947788,4401.692753158333,1560.000004246831,680.000004649628,630.878332156539,900,202.0092107668218,0.32020312074483726,207.08354671209165,0.32824640847025993,221.78557467762565,0.35155047078490287,1.7189171409788463e-10,0.07979043571644218,0.0004895862235073564,-0.016226870266591087,-0.11313923812018317
0.565,56519,0,3739.9999564513564,5219.999933615327,4489.927475103478,1479.9999771639705,680.000004649628,632.1708026445681,880,202.37748605489998,0.32013102346437333,208.1893674774233,0.32932455375430514,221.60394911224486,0.35054442278132153,1.8220732548379061e-09,0.07894358146574784,0.0004552600808406611,-0.0095780259317374,-0.10196006767689958
0.5675,56769,0,3859.999938867986,5260.000005364418,4568.642241228857,1400.0000664964318,640.0000202120282,629.5942266042161,840,201.12886319545362,0.3194579217796575,207.82897052961707,0.3300998671010134,220.6363928791455,0.35044221111932916,1.1177135809483416e-09,0.08061020980831818,0.00034121997802416635,-0.011342079888731205,-0.09584700262199602
0.57,57019,0,3980.000037699938,5339.999916031957,4647.14037928427,1359.9998783320189,640.0000202120282,634.7920621722856,800,203.16165987882684,0.32004442397026667,209.50874873997859,0.3300431136820311,222.12165355348014,0.34991246234770224,7.213035428186477e-10,0.07240314934638642,0.00016796406680988235,-0.00397424830055515,-0.09185952422994842
0.5725,57269,0,4059.9999483674765,5420.000059530139,4721.566659540938,1360.0001111626625,640.0000202120282,630.6865815674323,820,202.5147725356016,0.32110207899507837,207.43393071526523,0.3289017663888361,220.73787831656549,0.3499961546160856,6.832856260866828e-10,0.07997496835801648,0.00021514468651980358,-0.0014144924956215332,-0.08414590092029339
0.575,57519,0,4100.000020116568,5459.9998984485865,4792.160783964065,1359.9998783320189,680.000004649628,630.0650925811306,820,203.41203713862276,0.3228428927959222,206.40201843652903,0.3275884045424268,220.25103700597873,0.34956870266165085,2.140161234173999e-09,0.07902504328544642,0.00033000015579149873,-0.004471066233437626,-0.08619093522365762
0.5775,57769,0,4179.999930784106,5540.000041946769,4864.78215318414,1360.0001111626625,720.000003639143,630.6617842646415,820,205.1074212309691,0.32522570155432295,206.7455403398393,0.32782316211042795,218.8088226938331,0.34695113633524916,1.8619290632298729e-09,0.07898698510015735,0.0003014150641767885,-0.0036280822398876422,-0.07965617740176312
0.58,58019,0,4260.000074282289,5619.999952614307,4937.048005280068,1359.9998783320189,720.000003639143,634.375081940645,820,206.95124253831347,0.3262285175281786,207.98982268524642,0.3278656879916776,219.43401671708511,0.34590579448014375,1.533310843390657e-09,0.07429045212438262,0.0003091673667262883,-0.002644605137902989,-0.07678618143613308
0.5825,58269,0,4339.999984949827,5699.999863281846,5006.516841954673,1359.9998783320189,720.000003639143,637.332760122794,800,208.36464123294945,0.3269322625009958,207.8411613860695,0.3261109021698886,221.12695750377492,0.3469568353291156,1.6563826476446264e-09,0.06756258594102763,0.0002761216127180425,-0.006198586943052364,-0.07045070914025192
0.585,58519,0,4419.999895617366,5739.999935030937,5075.5165483493465,1320.0000394135714,720.000003639143,638.6417082846355,780,208.7959923036058,0.3269376077306679,208.76558977593635,0.3268900027476625,221.08012620509336,0.3461723895216697,1.0818162687316263e-09,0.06294269322992517,0.00029763566692049163,-0.004532899821856229,-0.06731691989814681
0.5875,58769,0,4500.000039115548,5820.0000785291195,5150.457146283246,1320.0000394135714,720.000003639143,640.3332093769858,800,209.23242133175788,0.32675553644223954,209.8144188366239,0.3276644343353104,221.28636920860393,0.34558002922244996,1.7931500774404415e-10,0.06475665070006276,0.0002388635180084639,-0.007811351732356531,-0.06019305654060647
0.59,59019,0,4539.999878033996,5899.999989196658,5222.163945292404,1360.0001111626625,680.0000192015432,640.682833545719,820,210.52160233006248,0.3285894225774346,209.57175033672732,0.3271068606238414,220.5894808789292,0.3443037167987239,1.1992030765963472e-09,0.06499311642353199,0.0002834839176088546,-0.008201367996877651,-0.056233451441755344
0.5925,59269,0,4620.000021532178,5940.000060945749,5291.899728885625,1320.0000394135714,680.0000192015432,641.438911446831,800,210.70501526292347,0.32848804695626715,209.7133549109644,0.32694205351205546,221.02054127294303,0.3445698995316774,8.444504926225413e-10,0.061266843201862674,0.00023952814597298994,-0.006311456960923334,-0.05539816151175786
0.595,59519,0,4699.999932199717,6019.999971613288,5364.587171828191,1320.0000394135714,680.0000192015432,643.0835955539548,800,212.07303243146058,0.3297752172464919,209.44194363455767,0.32568385367402125,221.5686194879366,0.3445409290794869,1.3636190643326362e-10,0.05926149284070442,0.00029353105029215654,-0.008507893194403038,-0.054299090152297
0.5975,59769,0,4780.000075697899,6100.00011511147,5438.066394442251,1320.0000394135714,680.0000192015432,641.1459112549957,780,211.20453267107328,0.32941726518641606,208.60751794949167,0.32536668219743914,221.3338606344307,0.3452160526161448,1.0053790363978964e-09,0.061746420779020685,0.0002706603078524115,-0.010326638418565681,-0.04900472086360397
0.6,60019,0,4859.9999863654375,6180.000025779009,5510.431360892013,1320.0000394135714,680.0000192015432,640.5852980294324,800,211.2215439958882,0.3297321131871862,208.35121385710215,0.32525132015678765,221.01254017644195,0.34501656665602604,9.927602509673495e-10,0.06340437118983848,0.00021076375891847409,-0.015024548922066616,-0.04476825144028024
0.6025,60269,0,4940.00012986362,6259.9999364465475,5583.066967163596,1319.9998065829277,680.0000192015432,639.2999236068672,800,210.7912675152525,0.32972202831808417,207.85560403363044,0.32513003108295335,220.6530520579842,0.3451479405989624,3.517457232416013e-10,0.06529045798202321,0.00023868226579231471,-0.021406344410610123,-0.04252801327178424
0.605,60519,0,5020.000040531158,6340.00007994473,5655.412311960953,1320.0000394135714,680.0000192015432,637.4603629780944,800,210.96641490889016,0.33094828660921743,206.61651107327012,0.32412448376867986,219.87743699593415,0.3449272296221028,9.555925065965743e-10,0.06758181905878419,0.00028239549366056426,-0.023724329777045472,-0.04570807880426753
0.6075,60769,0,5060.00011228025,6379.999918863177,5725.017221335816,1319.9998065829277,680.0000192015432,638.1190167648069,800,211.7125336652992,0.3317759353712077,206.62269378276994,0.3237996178680338,219.78378931673777,0.34442444676075845,2.405326046472562e-10,0.06479676442910273,0.00031751582541863593,-0.02816065590123118,-0.045273715386149105
0.61,61019,0,5140.000022947788,6460.00006236136,5797.040052902443,1320.0000394135714,680.0000192015432,640.2201444020989,800,212.72169993670875,0.33226336565115333,207.52444594303432,0.32414544865163725,219.97399852235583,0.3435911856972095,2.1761597978194607e-10,0.06095101219363827,0.0003437258115757056,-0.03014296529758098,-0.04481278351275708
0.6125,61269,0,5219.999933615327,6539.999973028898,5869.012181176749,1320.0000394135714,680.0000192015432,642.1066221082299,800,213.31937562778776,0.3322179966426695,208.6830886678085,0.3249975650190913,220.10415781263364,0.3427844383382393,7.843320139508869e-11,0.05718847513885762,0.00031787965481020397,-0.03217282124608334,-0.042810437231565246
0.615,61519,0,5300.000077113509,6619.999883696437,5940.9063711581275,1319.9998065829277,680.0000192015432,640.5251965293369,800,212.16629388618443,0.3312380137983642,208.79811981258786,0.32597955700096276,219.56078283056456,0.342782429200673,2.1682902210669028e-10,0.058154864663148925,0.0003464052427016159,-0.03231516405320062,-0.04212991365850277
0.6175,61769,0,5379.999987781048,6700.000027194619,6011.644101247676,1320.0000394135714,680.0000192015432,640.5601360571325,780,212.40687272957683,0.33159552206450754,208.65271362286123,0.325734777857377,219.5005497046944,0.3426697000781155,1.5364115372339314e-10,0.05525071378357512,0.0003334263392828482,-0.03651440732234268,-0.0355712929716987
0.765,76519,0,4020.000109449029,5660.000024363399,4947.108467731028,1639.9999149143696,600.0000212225132,544.7828957197042,940,176.99110917345925,0.32488374830424704,203.06316328058108,0.3727414441165916,164.72862326566394,0.30237480757916146,1.0686657238552807e-09,0.07362937214982428,0.0012596083034001602,0.07851190135023928,-0.024780049996460496
0.7675,76769,0,4299.999913200736,5739.999935030937,5050.93558456774,1440.0000218302011,600.0000212225132,543.6944061842519,840,176.80308874291123,0.3251883534792055,202.67465429101242,0.37277310927920104,164.2166631503282,0.3020385372415935,7.563942400043452e-11,0.07140050305893447,0.0009696665623921385,0.07426412020259182,-0.022575343477912624
0.77,77019,0,4500.000039115548,5780.000006780028,5145.841197912361,1279.9999676644802,600.0000212225132,542.8852402682674,780,176.72518304943412,0.325529540943322,201.9713124609377,0.37203316185412105,164.18874475789548,0.3024372972025569,1.4168610946144691e-09,0.0701739754310286,0.000770465601171432,0.07484465115773198,-0.024676849635251574
0.7725,77269,0,4620.000021532178,5860.000150278211,5230.226528482328,1240.0001287460327,600.0000212225132,541.8902477958435,760,177.21586500491566,0.3270327630470322,201.70041775080213,0.3722163640538379,162.97396504012568,0.3007508728991298,7.749103786967703e-10,0.07067269858510217,0.0007197195133365556,0.07125226838351695,-0.02474121280070063
